Stock,BY,Female #,Age,Reproductive Effort,Estimated Fecundity ,L95%,U95%,Green egg avg weight,Comments
I-205,2013,F-38,5,13.5,NA,NA,NA,0.2860,doubled up in heath trays
I-205,2013,F-39,4,15.2,NA,NA,NA,0.3450,doubled up in heath trays
I-205,2013,F-40,3,8.7,NA,NA,NA,0.2270,doubled up in heath trays
I-205,2013,F-41,3,9.4,NA,NA,NA,0.2660,doubled up in heath trays
I-205,2013,F-42,3,13.3,NA,NA,NA,0.2860,doubled up in heath trays
I-205,2013,F-43,5,17.1,NA,NA,NA,0.3690,doubled up in heath trays
I-205,2013,F-44,3,14.5,1507,1525,1489,0.2950,
I-205,2013,F-45,3,13.9,1595,1636,1554,0.3010,
I-205,2013,F-46,4,16.8,3346,3384,3308,0.2820,
I-205,2013,F-47,3,13.6,1465,1491,1439,0.2820,
I-205,2013,F-48,5,16.1,1928,1957,1899,0.3270,
I-205,2013,F-49,4,20.3,2728,2769,2687,0.2780,
I-205,2013,F-50,4,15.8,2665,2710,2620,0.2910,
I-205,2013,F-51,3,13.9,2021,2043,1999,0.2660,
Lower Gorge,2014,F-1,9,17.1,3305,3434,3176,0.2870,
Lower Gorge,2014,F-2,9,20.6,2938,2966,2910,0.2680,
Lower Gorge,2014,F-3,9,17.0,1724,1756,1692,0.2900,
Lower Gorge,2014,F-4,4,12.7,2382,2425,2339,0.3340,
Lower Gorge,2014,F-5,4,17.4,2359,2391,2327,0.3110,
Lower Gorge,2014,F-6,4,18.1,2229,2262,2196,0.3260,
Lower Gorge,2014,F-7,4,17.2,2545,2595,2495,0.3070,
Lower Gorge,2014,F-8,3,19.2,2272,2311,2233,0.2770,
Lower Gorge,2014,F-9,3,18.4,3675,3717,3633,0.2430,
Lower Gorge,2014,F-10,4,11.8,2235,2247,2223,0.2530,
Lower Gorge,2014,F-11,4,19.2,3222,3256,3188,0.3570,
Lower Gorge,2014,F-12,4,16.0,2703,2724,2682,0.3090,
Lower Gorge,2014,F-13,4,17.1,3209,3257,3161,0.3550,
Lower Gorge,2014,F-14,4,20.7,2895,2909,2881,0.3050,
Lower Gorge,2014,F-15,4,19.3,3690,3715,3665,0.3450,
Lower Gorge,2014,F-16,4,12.9,1867,1915,1819,0.3380,
Lower Gorge,2014,F-17,4,19.5,3260,3261,3259,0.3260,
Lower Gorge,2014,F-18,4,16.4,3012,3026,2998,0.3070,
Lower Gorge,2014,F-19,4,15.4,2979,3013,2945,0.2890,
Lower Gorge,2014,F-20,4,15.4,3071,3100,3042,0.3180,
Lower Gorge,2014,F-21,4,18.4,2639,2656,2622,0.2770,
Lower Gorge,2014,F-22,4,16.9,3370,3393,3347,0.2540,
Lower Gorge,2014,F-23,4,14.6,2454,2463,2445,0.2730,
Lower Gorge,2014,F-24,4,13.8,1648,1658,1638,0.3250,
Lower Gorge,2014,F-25,3,15.5,1987,2003,1971,0.2370,
Lower Gorge,2014,F-26,4,19.2,3322,3337,3307,0.3380,
Lower Gorge,2014,F-27,3,14.1,1735,1759,1711,0.2570,
Lower Gorge,2014,F-28,4,15.8,2501,2528,2474,0.2860,
Lower Gorge,2014,F-29,4,10.3,1706,1752,1660,0.2700,
Lower Gorge,2014,F-30,4,10.3,1199,1261,1137,0.3070,
Lower Gorge,2014,F-31,3,16.4,2028,2069,1987,0.2410,
Lower Gorge,2014,F-32,3,13.3,1800,1828,1772,0.2820,
Lower Gorge,2014,F-33,4,14.6,2264,2307,2221,0.3300,
Lower Gorge,2014,F-34,4,16.2,3517,3547,3487,0.3100,
Lower Gorge,2014,F-35,4,15.9,NA,NA,NA,0.2990,"soft shell eggs, sampling skipped"
Lower Gorge,2014,F-36,88,16.3,2294,2309,2279,0.2550,
Lower Gorge,2014,F-37,88,12.4,1837,1866,1808,0.3250,
Lower Gorge,2014,F-38,4,13.0,2316,2338,2294,0.3400,
Lower Gorge,2014,F-39,4,14.4,2178,2196,2160,0.2730,
Lower Gorge,2014,F-40,3,16.6,NA,NA,NA,0.2220,"All blanks, not sampled"
I-205,2014,F-1,3,17.2,2500,2557,2443,0.2490,
I-205,2014,F-2,4,16.6,2577,2609,2545,0.3500,
I-205,2014,F-3,4,19.8,3555,3596,3514,0.3290,
I-205,2014,F-4,3,13.5,1891,1929,1853,0.2690,
I-205,2014,F-5,3,17.2,2770,2848,2692,0.2420,
I-205,2014,F-6,4,13.9,2789,2849,2729,0.3250,
I-205,2014,F-7,4,15.9,3125,3196,3054,0.3500,
I-205,2014,F-8,4,19.2,2840,2867,2813,0.2500,
I-205,2014,F-9,5,14.2,2589,2609,2569,0.3070,
I-205,2014,F-10,4,10.7,1869,1881,1857,0.2580,
I-205,2014,F-11,4,12.0,2050,2058,2042,0.3140,
I-205,2014,F-12,4,15.2,2648,2655,2641,0.3250,
I-205,2014,F-13,4,15.1,2266,2285,2247,0.3400,
I-205,2014,F-14,4,16.9,3337,3386,3288,0.3220,
I-205,2014,F-15,4,12.7,2141,2152,2130,0.3320,
I-205,2014,F-16,4,18.1,3071,3079,3063,0.3440,
I-205,2014,F-17,4,14.1,3106,3141,3071,0.3330,
I-205,2014,F-18,4,16.0,2851,2938,2764,0.2770,
I-205,2014,F-19,3,13.8,1924,1928,1920,0.2600,
I-205,2014,F-20,4,11.5,1803,1856,1750,0.2970,
I-205,2014,F-21,3,16.8,1966,1992,1940,0.3070,
I-205,2014,F-22,3,17.2,2768,2791,2745,0.2460,
I-205,2014,F-23,4,18.1,2899,2921,2877,0.3010,
I-205,2014,F-24,4,15.7,3245,3378,3112,0.2600,
I-205,2014,F-25,4,18.8,3257,3316,3198,0.2860,
I-205,2014,F-26,4,18.3,2260,2275,2245,0.3030,
I-205,2014,F-27,4,17.8,4311,4344,4278,0.3190,
I-205,2014,F-28,4,9.8,1800,1833,1767,0.3100,
I-205,2014,F-29,4,16.9,3389,3414,3364,0.3180,
I-205,2014,F-30,4,17.0,2492,2522,2462,0.3490,
I-205,2014,F-31,4,14.7,2426,2491,2361,0.2900,
I-205,2014,F-32,4,8.9,1493,1508,1478,0.2700,
I-205,2014,F-33,3,17.5,2090,2108,2072,0.2950,
I-205,2014,F-34,3,16.9,1979,1991,1967,0.2700,
I-205,2014,F-35,4,16.2,3011,3052,2970,0.2530,
I-205,2014,F-36,4,16.9,3308,3318,3298,0.2660,
I-205,2014,F-37,4,15.2,3381,3419,3343,0.2380,
I-205,2014,F-38,4,14.8,2872,2902,2842,0.3100,
I-205,2014,F-39,4,16.8,3599,3645,3553,0.3090,
I-205,2014,F-40,4,16.2,2316,2339,2293,0.3520,
I-205,2014,F-41,4,15.8,2534,2545,2523,0.3650,
I-205,2014,F-42,3,16.5,2522,2539,2505,0.2600,
Grays,2009,F-1,3,17.3,2322,2335,2309,0.2880,
Grays,2009,F-2,5,14.7,1818,1839,1797,0.3580,
Grays,2009,F-3,3,14.6,1637,1649,1625,0.2810,
Grays,2009,F-4,4,14.9,2363,2373,2353,0.3650,
Grays,2009,F-5,5,13.2,1960,1967,1953,0.3250,
Grays,2009,F-6,3,16.3,2481,2734,2228,0.2700,
Grays,2009,F-7,4,16.8,2262,2269,2255,0.2410,
Grays,2009,F-8,4,8.7,1331,1345,1317,0.2820,
Grays,2009,F-9,5,17.7,2871,2911,2831,0.3140,
Grays,2009,F-10,4,17.0,3394,3423,3365,0.2350,
Grays,2009,F-11,4,16.1,2149,2167,2131,0.3220,
Grays,2009,F-12,3,9.7,1201,1216,1186,0.2730,
Grays,2009,F-13,3,19.8,2930,3037,2823,0.2420,
Grays,2009,F-14,4,19.9,3107,3177,3037,0.3040,
Grays,2009,F-15,3,9.0,1473,1508,1438,0.2780,
Grays,2009,F-16,3,12.6,1738,1950,1526,0.2860,
Grays,2009,F-17,4,19.7,2554,2628,2480,0.2840,
Grays,2009,F-18,4,18.9,3970,4188,3752,0.2470,
Grays,2009,F-19,3,18.2,2817,3155,2479,0.2620,
Grays,2009,F-20,3,16.4,2905,2924,2886,0.2500,
Grays,2009,F-21,4,17.9,2494,2875,2113,0.2970,
Grays,2009,F-22,3,17.2,1803,1845,1761,0.3110,
Grays,2009,F-23,3,13.1,1762,1922,1602,0.2490,
Grays,2009,F-24,88,10.6,1527,1693,1361,0.2270,
Grays,2009,F-25,3,18.2,NA,NA,NA,0.2440,"fresh mort but all eggs dead, not sampled"
Grays,2009,F-26,4,18.4,3284,3313,3255,0.3420,
Grays,2009,F-27,4,16.6,2760,3026,2494,0.2890,
Grays,2009,F-28,4,18.4,3038,3075,3001,0.2960,
Grays,2009,F-29,3,20.2,2284,2289,2279,0.2900,
Grays,2009,F-30,3,13.6,2037,2051,2023,0.2780,
Grays,2009,F-31,4,19.3,2850,2904,2796,0.2820,
Grays,2009,F-32,3,20.2,2586,2949,2223,0.2680,
Grays,2009,F-33,3,13.2,1826,1837,1815,0.2310,
Grays,2009,F-34,4,17.6,2499,2584,2414,0.2640,
Grays,2009,F-35,3,18.3,1855,1878,1832,0.2560,
Grays,2009,F-36,3,11.8,1556,1626,1486,0.2840,
Grays,2009,F-37,4,19.5,2325,2392,2258,0.3020,
Grays,2009,F-38,4,6.4,593,642,544,0.3250,
Grays,2009,F-39,4,13.8,1675,1733,1617,0.3170,
Grays,2009,F-40,4,20.3,2732,2824,2640,0.3160,
Grays,2009,F-41,3,13.4,2192,2431,1953,0.2250,
Grays,2009,F-42,3,20.2,2533,2579,2487,0.2630,
Grays,2009,F-43,3,19.4,3010,3035,2985,0.2970,
Grays,2009,F-44,4,18.0,3065,3335,2795,0.2830,
Grays,2009,F-45,3,14.6,1580,1597,1563,0.2650,
Grays,2009,F-46,3,15.7,2082,2114,2050,0.2670,
Grays,2009,F-47,4,16.6,3453,3472,3434,0.2910,
Grays,2009,F-48,3,18.0,2173,2237,2109,0.2320,
Grays,2009,F-49,4,18.5,3384,3412,3356,0.3040,
Grays,2009,F-50,3,17.2,1640,1653,1627,0.2860,
Grays,2009,F-51,3,9.5,1111,1140,1082,0.2280,
Grays,2009,F-52,3,16.8,NA,NA,NA,0.2080,not sampled at eyed stage
Grays,2009,F-53,4,17.2,2786,3099,2473,0.3090,
Grays,2009,F-54,4,13.3,1917,1966,1868,0.3060,
Grays,2009,F-55,3,16.0,2477,2533,2421,0.2630,
Grays,2009,F-56,4,19.7,3064,3106,3022,0.2430,
Grays,2009,F-57,3,16.8,2694,2728,2660,0.2500,
Grays,2009,F-58,4,18.5,3467,3507,3427,0.2900,
Grays,2009,F-59,3,6.5,677,689,665,0.2840,
Grays,2010,F-1,4,17.5,2784,NA,NA,0.3150,Grimm and crew skipped eyed egg sampling
Grays,2010,F-2,4,18.8,3115,NA,NA,0.2690,Grimm and crew skipped eyed egg sampling
Grays,2010,F-3,5,17.7,3176,NA,NA,0.3930,Grimm and crew skipped eyed egg sampling
Grays,2010,F-4,3,20.2,2932,NA,NA,0.3150,Grimm and crew skipped eyed egg sampling
Grays,2010,F-5,3,17.5,2477,NA,NA,0.3230,Grimm and crew skipped eyed egg sampling
Grays,2010,F-6,4,16.0,2585,NA,NA,0.3160,Grimm and crew skipped eyed egg sampling
Grays,2010,F-7,4,18.8,2579,NA,NA,0.3430,Grimm and crew skipped eyed egg sampling
Grays,2010,F-8,4,20.7,2372,NA,NA,0.3260,Grimm and crew skipped eyed egg sampling
Grays,2010,F-9,4,16.6,2572,NA,NA,0.3350,Grimm and crew skipped eyed egg sampling
Grays,2010,F-10,4,21.5,3046,NA,NA,0.2880,Grimm and crew skipped eyed egg sampling
Grays,2010,F-11,4,19.4,3682,NA,NA,0.3200,Grimm and crew skipped eyed egg sampling
Grays,2010,F-12,4,18.2,3458,NA,NA,0.3130,Grimm and crew skipped eyed egg sampling
Grays,2010,F-13,3,20.3,2784,NA,NA,0.2580,Grimm and crew skipped eyed egg sampling
Grays,2010,F-14,4,17.5,3013,NA,NA,0.3230,Grimm and crew skipped eyed egg sampling
Grays,2010,F-15,4,17.7,2435,NA,NA,0.3400,Grimm and crew skipped eyed egg sampling
Grays,2010,F-16,4,11.4,1509,NA,NA,0.3380,Grimm and crew skipped eyed egg sampling
Grays,2010,F-17,4,18.6,2417,NA,NA,0.3440,Grimm and crew skipped eyed egg sampling
Grays,2010,F-18,4,19.8,3291,NA,NA,0.3770,Grimm and crew skipped eyed egg sampling
Grays,2010,F-19,4,14.3,1967,NA,NA,0.3520,Grimm and crew skipped eyed egg sampling
Grays,2010,F-20,4,19.7,3647,NA,NA,0.3350,Grimm and crew skipped eyed egg sampling
Grays,2010,F-21,3,23.3,3424,NA,NA,0.2440,Grimm and crew skipped eyed egg sampling
Grays,2010,F-22,4,17.1,2745,NA,NA,0.3280,Grimm and crew skipped eyed egg sampling
Grays,2010,F-23,4,9.1,1263,NA,NA,0.2970,Grimm and crew skipped eyed egg sampling
Grays,2010,F-24,4,19.9,3119,NA,NA,0.3160,Grimm and crew skipped eyed egg sampling
Grays,2010,F-25,4,14.1,2131,NA,NA,0.3390,Grimm and crew skipped eyed egg sampling
Grays,2010,F-26,4,7.5,1218,NA,NA,0.2910,Grimm and crew skipped eyed egg sampling
Grays,2010,F-27,4,19.8,3294,NA,NA,0.3340,Grimm and crew skipped eyed egg sampling
Grays,2010,F-28,4,11.0,1947,NA,NA,0.3260,Grimm and crew skipped eyed egg sampling
Grays,2010,F-29,88,19.2,2463,NA,NA,0.2980,Grimm and crew skipped eyed egg sampling
Grays,2010,F-30,4,17.6,2954,NA,NA,0.3350,Grimm and crew skipped eyed egg sampling
Grays,2010,F-31,4,18.1,3939,NA,NA,0.3320,Grimm and crew skipped eyed egg sampling
Grays,2010,F-32,4,19.9,2368,NA,NA,0.2800,Grimm and crew skipped eyed egg sampling
Grays,2010,F-33,3,9.0,1244,NA,NA,0.2700,Grimm and crew skipped eyed egg sampling
Grays,2010,F-34,4,16.0,3151,NA,NA,0.3400,Grimm and crew skipped eyed egg sampling
Grays,2010,F-35,88,19.6,3432,NA,NA,0.3150,Grimm and crew skipped eyed egg sampling
Grays,2010,F-36,4,18.0,3819,NA,NA,0.3470,Grimm and crew skipped eyed egg sampling
Grays,2010,F-37,88,19.1,3325,NA,NA,0.3350,Grimm and crew skipped eyed egg sampling
Grays,2010,F-38,88,16.9,3042,NA,NA,0.3010,Grimm and crew skipped eyed egg sampling
Grays,2010,F-39,4,20.4,3514,NA,NA,0.3320,Grimm and crew skipped eyed egg sampling
Grays,2010,F-40,4,15.4,2223,NA,NA,0.3360,Grimm and crew skipped eyed egg sampling
Grays,2010,F-41,4,15.0,2912,NA,NA,0.3690,Grimm and crew skipped eyed egg sampling
Grays,2010,F-42,4,10.9,2113,NA,NA,0.3350,Grimm and crew skipped eyed egg sampling
Grays,2010,F-43,4,17.1,2336,NA,NA,0.2490,Grimm and crew skipped eyed egg sampling
Grays,2010,F-44,4,18.7,3189,NA,NA,0.3230,Grimm and crew skipped eyed egg sampling
Grays,2010,F-45,4,14.2,2304,NA,NA,0.3500,Grimm and crew skipped eyed egg sampling
Grays,2010,F-46,4,8.6,1193,NA,NA,0.3060,Grimm and crew skipped eyed egg sampling
Grays,2010,F-47,4,18.5,3059,NA,NA,0.3480,Grimm and crew skipped eyed egg sampling
Grays,2010,F-48,88,21.6,2818,NA,NA,0.2730,Grimm and crew skipped eyed egg sampling
Grays,2010,F-49,4,12.5,1912,NA,NA,0.3240,Grimm and crew skipped eyed egg sampling
Grays,2010,F-50,4,13.0,1763,NA,NA,0.3060,Grimm and crew skipped eyed egg sampling
Grays,2010,F-51,3,13.6,1456,NA,NA,0.2720,Grimm and crew skipped eyed egg sampling
Grays,2010,F-52,4,16.3,2915,NA,NA,0.3410,Grimm and crew skipped eyed egg sampling
Grays,2010,F-53,4,18.9,2907,NA,NA,0.3330,Grimm and crew skipped eyed egg sampling
Grays,2010,F-54,4,17.9,2471,NA,NA,0.2820,Grimm and crew skipped eyed egg sampling
Grays,2010,F-55,4,18.1,3473,NA,NA,0.2690,Grimm and crew skipped eyed egg sampling
Grays,2010,F-56,4,14.9,1918,NA,NA,0.3330,Grimm and crew skipped eyed egg sampling
Grays,2010,F-57,4,14.0,1968,NA,NA,0.3220,Grimm and crew skipped eyed egg sampling
Grays,2010,F-58,4,19.3,3149,NA,NA,0.3470,Grimm and crew skipped eyed egg sampling
Grays,2010,F-59,4,20.3,2618,NA,NA,0.3000,Grimm and crew skipped eyed egg sampling
Grays,2010,F-60,4,15.1,2946,NA,NA,0.3130,Grimm and crew skipped eyed egg sampling
Grays,2010,F-61,4,11.1,2047,NA,NA,0.3340,Grimm and crew skipped eyed egg sampling
Grays,2010,F-62,4,19.3,3499,NA,NA,0.3120,Grimm and crew skipped eyed egg sampling
Grays,2010,F-63,4,12.7,2129,NA,NA,0.2980,Grimm and crew skipped eyed egg sampling
Grays,2010,F-64,4,9.8,1325,NA,NA,0.3040,Grimm and crew skipped eyed egg sampling
Grays,2010,F-65,4,19.8,3199,NA,NA,0.3010,Grimm and crew skipped eyed egg sampling
Grays,2010,F-66,4,13.3,1968,NA,NA,0.3200,Grimm and crew skipped eyed egg sampling
Grays,2010,F-67,4,15.8,2781,NA,NA,0.3560,Grimm and crew skipped eyed egg sampling
Grays,2010,F-68,4,20.8,3187,NA,NA,0.2930,Grimm and crew skipped eyed egg sampling
Grays,2010,F-69,4,12.4,1565,NA,NA,0.3570,Grimm and crew skipped eyed egg sampling
Grays,2010,F-70,4,18.1,2834,NA,NA,0.3270,Grimm and crew skipped eyed egg sampling
Grays,2010,F-71,4,17.7,2654,NA,NA,0.3050,Grimm and crew skipped eyed egg sampling
Grays,2010,F-72,5,18.0,3040,NA,NA,0.3170,Grimm and crew skipped eyed egg sampling
Grays,2010,F-73,4,19.7,3020,NA,NA,0.3100,Grimm and crew skipped eyed egg sampling
Grays,2010,F-74,4,20.6,2290,NA,NA,0.3010,Grimm and crew skipped eyed egg sampling
Grays,2010,F-75,4,18.5,3240,NA,NA,0.3040,Grimm and crew skipped eyed egg sampling
Grays,2010,F-76,4,16.4,2907,NA,NA,0.3490,Grimm and crew skipped eyed egg sampling
Grays,2010,F-77,4,19.6,3518,NA,NA,0.3250,Grimm and crew skipped eyed egg sampling
Grays,2010,F-78,4,14.5,2169,NA,NA,0.3410,Grimm and crew skipped eyed egg sampling
Grays,2010,F-79,4,20.1,2502,NA,NA,0.3510,Grimm and crew skipped eyed egg sampling
Grays,2010,F-80,4,16.1,2220,NA,NA,0.3110,Grimm and crew skipped eyed egg sampling
Grays,2010,F-81,4,18.7,3281,NA,NA,0.3190,Grimm and crew skipped eyed egg sampling
Grays,2010,F-82,4,15.0,1624,NA,NA,0.2770,Grimm and crew skipped eyed egg sampling
Grays,2010,F-83,4,11.1,1416,NA,NA,0.3290,Grimm and crew skipped eyed egg sampling
Grays,2010,F-84,3,19.8,3107,NA,NA,0.2420,Grimm and crew skipped eyed egg sampling
Grays,2010,F-85,4,18.0,2748,NA,NA,0.2900,Grimm and crew skipped eyed egg sampling
Grays,2010,F-86,4,19.6,3359,NA,NA,0.3140,Grimm and crew skipped eyed egg sampling
Grays,2010,F-87,4,19.2,2713,NA,NA,0.3190,Grimm and crew skipped eyed egg sampling
Grays,2010,F-88,4,18.3,2460,NA,NA,0.3270,Grimm and crew skipped eyed egg sampling
Grays,2010,F-89,4,13.8,1839,NA,NA,0.3250,Grimm and crew skipped eyed egg sampling
Grays,2010,F-90,4,11.0,1727,NA,NA,0.3440,Grimm and crew skipped eyed egg sampling
Grays,2010,F-91,3,15.3,1643,NA,NA,0.2630,Grimm and crew skipped eyed egg sampling
Grays,2010,F-92,4,19.7,2808,NA,NA,0.3370,Grimm and crew skipped eyed egg sampling
Grays,2010,F-93,4,20.2,3337,NA,NA,0.2770,Grimm and crew skipped eyed egg sampling
Grays,2010,F-94,4,16.6,3336,NA,NA,0.2960,Grimm and crew skipped eyed egg sampling
Grays,2010,F-95,4,18.2,4332,NA,NA,0.2950,Grimm and crew skipped eyed egg sampling
Grays,2010,F-96,4,19.9,2788,NA,NA,0.3090,Grimm and crew skipped eyed egg sampling
Grays,2010,F-97,4,18.2,2945,NA,NA,0.3270,Grimm and crew skipped eyed egg sampling
Grays,2010,F-98,4,23.3,4305,NA,NA,0.2980,Grimm and crew skipped eyed egg sampling
Grays,2010,F-99,4,20.7,3519,NA,NA,0.3420,Grimm and crew skipped eyed egg sampling
Grays,2010,F-100,4,15.5,1732,NA,NA,0.3010,Grimm and crew skipped eyed egg sampling
Grays,2010,F-101,4,14.0,2047,NA,NA,0.3270,Grimm and crew skipped eyed egg sampling
Grays,2010,F-102,4,16.7,2819,NA,NA,0.3270,Grimm and crew skipped eyed egg sampling
Grays,2010,F-103,4,20.9,2626,NA,NA,0.3550,Grimm and crew skipped eyed egg sampling
Grays,2010,F-104,4,20.2,3167,NA,NA,0.3080,Grimm and crew skipped eyed egg sampling
Grays,2010,F-105,4,21.8,2443,NA,NA,0.3280,Grimm and crew skipped eyed egg sampling
Grays,2010,F-106,4,17.0,3138,NA,NA,0.3350,Grimm and crew skipped eyed egg sampling
Grays,2010,F-107,4,19.4,2661,NA,NA,0.3150,Grimm and crew skipped eyed egg sampling
Grays,2010,F-108,4,17.7,2843,NA,NA,0.3440,Grimm and crew skipped eyed egg sampling
Grays,2010,F-109,3,16.9,1655,NA,NA,0.2810,Grimm and crew skipped eyed egg sampling
Grays,2010,F-110,4,20.1,2884,NA,NA,0.3160,Grimm and crew skipped eyed egg sampling
Grays,2010,F-111,4,20.1,3971,NA,NA,0.3240,Grimm and crew skipped eyed egg sampling
Grays,2010,F-112,4,16.6,2105,NA,NA,0.2460,Grimm and crew skipped eyed egg sampling
Grays,2010,F-113,4,17.6,2967,NA,NA,0.3690,Grimm and crew skipped eyed egg sampling
Grays,2010,F-114,3,21.5,2931,NA,NA,0.2270,Grimm and crew skipped eyed egg sampling
Grays,2010,F-115,4,18.7,2936,NA,NA,0.3420,Grimm and crew skipped eyed egg sampling
Grays,2010,F-116,4,18.7,2131,NA,NA,0.3030,Grimm and crew skipped eyed egg sampling
Grays,2010,F-117,3,18.3,2319,NA,NA,0.3070,Grimm and crew skipped eyed egg sampling
Grays,2010,F-118,4,18.8,2895,NA,NA,0.3920,Grimm and crew skipped eyed egg sampling
Grays,2010,F-119,3,20.3,2822,NA,NA,0.2570,Grimm and crew skipped eyed egg sampling
Grays,2010,F-120,5,15.7,2284,NA,NA,0.3080,Grimm and crew skipped eyed egg sampling
Grays,2010,F-121,4,19.9,3046,NA,NA,0.2740,Grimm and crew skipped eyed egg sampling
Grays,2010,F-122,4,20.6,4148,NA,NA,0.2880,Grimm and crew skipped eyed egg sampling
Grays,2010,F-123,4,20.5,2900,NA,NA,0.3020,Grimm and crew skipped eyed egg sampling
Grays,2010,F-124,4,16.3,2654,NA,NA,0.3240,Grimm and crew skipped eyed egg sampling
Grays,2010,F-125,4,19.9,2907,NA,NA,0.3070,Grimm and crew skipped eyed egg sampling
Grays,2010,F-126,4,18.7,2988,NA,NA,0.3140,Grimm and crew skipped eyed egg sampling
Grays,2010,F-127,3,26.9,3669,NA,NA,0.2540,Grimm and crew skipped eyed egg sampling
Grays,2010,F-128,4,17.9,3263,NA,NA,0.2730,Grimm and crew skipped eyed egg sampling
Grays,2010,F-129,4,16.0,2633,NA,NA,0.3280,Grimm and crew skipped eyed egg sampling
Grays,2010,F-130,4,20.4,3567,NA,NA,0.3260,Grimm and crew skipped eyed egg sampling
Grays,2010,F-131,4,19.3,3071,NA,NA,0.3060,Grimm and crew skipped eyed egg sampling
Grays,2010,F-132,4,19.9,3310,NA,NA,0.3310,Grimm and crew skipped eyed egg sampling
Grays,2010,F-133,4,17.1,2732,NA,NA,0.3160,Grimm and crew skipped eyed egg sampling
Grays,2010,F-134,4,17.4,2681,NA,NA,0.3520,Grimm and crew skipped eyed egg sampling
Grays,2010,F-135,4,19.8,3278,NA,NA,0.2840,Grimm and crew skipped eyed egg sampling
Grays,2010,F-136,4,15.0,2456,NA,NA,0.3460,Grimm and crew skipped eyed egg sampling
Grays,2010,F-137,88,18.0,3014,NA,NA,0.3540,Grimm and crew skipped eyed egg sampling
Grays,2010,F-138,4,19.3,3230,NA,NA,0.2740,Grimm and crew skipped eyed egg sampling
Grays,2010,F-139,4,16.2,2243,NA,NA,0.3110,Grimm and crew skipped eyed egg sampling
Grays,2010,F-140,4,19.2,2795,NA,NA,0.3470,Grimm and crew skipped eyed egg sampling
Grays,2010,F-141,4,18.7,3212,NA,NA,0.3410,Grimm and crew skipped eyed egg sampling
Grays,2010,F-142,4,15.4,2313,NA,NA,0.3280,Grimm and crew skipped eyed egg sampling
Grays,2010,F-143,3,20.8,2067,NA,NA,0.2990,Grimm and crew skipped eyed egg sampling
Grays,2010,F-144,4,20.0,2889,NA,NA,0.3560,Grimm and crew skipped eyed egg sampling
Grays,2010,F-145,4,14.5,2408,NA,NA,0.3070,Grimm and crew skipped eyed egg sampling
Grays,2010,F-146,4,13.1,2162,NA,NA,0.2840,Grimm and crew skipped eyed egg sampling and egg weights
Grays,2011,F-1,4,17.9,2203,NA,NA,NA,Grimm and crew skipped eyed egg sampling and egg weights
Grays,2011,F-2,4,19.9,2611,NA,NA,NA,Grimm and crew skipped eyed egg sampling and egg weights
Grays,2011,F-3,4,17.3,2985,NA,NA,NA,Grimm and crew skipped eyed egg sampling and egg weights
Grays,2011,F-4,4,18.5,3160,NA,NA,NA,Grimm and crew skipped eyed egg sampling and egg weights
Grays,2011,F-5,4,17.5,2376,NA,NA,NA,Grimm and crew skipped eyed egg sampling and egg weights
Grays,2011,F-6,4,13.4,1760,NA,NA,NA,Grimm and crew skipped eyed egg sampling and egg weights
Grays,2011,F-7,4,16.9,2796,NA,NA,NA,Grimm and crew skipped eyed egg sampling and egg weights
Grays,2011,F-8,4,16.3,2552,NA,NA,NA,Grimm and crew skipped eyed egg sampling and egg weights
Grays,2011,F-9,4,15.1,1703,NA,NA,NA,Grimm and crew skipped eyed egg sampling and egg weights
Grays,2011,F-10,4,8.1,1721,NA,NA,NA,Grimm and crew skipped eyed egg sampling and egg weights
Grays,2011,F-11,4,18.3,2164,NA,NA,NA,Grimm and crew skipped eyed egg sampling and egg weights
Grays,2011,F-12,4,17.9,2165,NA,NA,NA,Grimm and crew skipped eyed egg sampling and egg weights
Grays,2011,F-13,4,17.1,2156,NA,NA,NA,Grimm and crew skipped eyed egg sampling and egg weights
Grays,2011,F-14,4,18.7,1851,NA,NA,NA,Grimm and crew skipped eyed egg sampling and egg weights
Grays,2011,F-15,4,16.3,2944,NA,NA,NA,Grimm and crew skipped eyed egg sampling and egg weights
Grays,2011,F-16,4,11.7,1568,NA,NA,NA,Grimm and crew skipped eyed egg sampling and egg weights
Grays,2011,F-17,4,18.5,536,NA,NA,NA,Grimm and crew skipped eyed egg sampling and egg weights
Grays,2011,F-18,4,16.9,2576,NA,NA,NA,Grimm and crew skipped eyed egg sampling and egg weights
Grays,2011,F-19,4,16.9,1993,NA,NA,NA,Grimm and crew skipped eyed egg sampling and egg weights
Grays,2011,F-20,4,17.6,2122,NA,NA,NA,Grimm and crew skipped eyed egg sampling and egg weights
Grays,2011,F-21,4,20.2,3257,NA,NA,NA,Grimm and crew skipped eyed egg sampling and egg weights
Grays,2011,F-22,4,11.6,1927,NA,NA,NA,Grimm and crew skipped eyed egg sampling and egg weights
Grays,2011,F-23,4,17.3,2618,NA,NA,NA,Grimm and crew skipped eyed egg sampling and egg weights
Grays,2011,F-24,4,17.5,2116,NA,NA,NA,Grimm and crew skipped eyed egg sampling and egg weights
Grays,2011,F-25,4,16.2,2637,NA,NA,NA,Grimm and crew skipped eyed egg sampling and egg weights
Grays,2011,F-26,4,17.5,2801,NA,NA,NA,Grimm and crew skipped eyed egg sampling and egg weights
