Stock,BY,Female #,Age,Reproductive Effort,Estimated Fecundity ,L95%,U95%,Green egg avg weight,Comments
Lower Gorge,2002,F-65,88,16.1,2841,2862,2820,0.2860,
Lower Gorge,2002,F-66,4,18.0,2694,2711,2677,0.2580,
Lower Gorge,2002,F-67,3,12.2,1491,1502,1480,0.2590,
Lower Gorge,2002,F-68,3,15.4,2259,2271,2247,0.2260,
Lower Gorge,2002,F-69,4,20.5,2228,2252,2204,0.2540,
Lower Gorge,2002,F-70,4,14.4,2584,2597,2571,0.2700,
Lower Gorge,2002,F-71,4,19.4,3001,3017,2985,0.3080,
Lower Gorge,2002,F-72,4,16.8,3071,3086,3056,0.2960,
Lower Gorge,2002,F-73,4,18.0,3355,3370,3340,0.2430,
Lower Gorge,2002,F-74,4,13.3,1896,1934,1858,0.2780,
Lower Gorge,2002,F-75,4,15.5,2654,2673,2635,0.2950,
Lower Gorge,2002,F-76,4,17.2,3395,3409,3381,0.2740,
Lower Gorge,2002,F-77,4,8.9,1696,1711,1681,0.2520,
Lower Gorge,2002,F-78,3,15.1,2569,2776,2362,0.2580,
Lower Gorge,2002,F-79,4,11.6,2122,2132,2112,0.2730,
Lower Gorge,2002,F-80,4,15.8,2827,2855,2799,0.2480,
Lower Gorge,2002,F-81,3,11.7,1204,1217,1191,0.2500,
Lower Gorge,2002,F-82,3,9.6,1473,1489,1457,0.2130,
Lower Gorge,2002,F-83,4,NA,NA,NA,NA,NA,green female
Lower Gorge,2002,F-84,3,18.3,2556,2581,2531,0.2300,
Lower Gorge,2003,F-1,4,10.0,1764,1770,1758,0.3260,
Lower Gorge,2003,F-2,4,18.8,3154,3183,3125,0.3670,
Lower Gorge,2003,F-3,4,13.3,2279,2403,2155,0.3070,
Lower Gorge,2003,F-4,4,NA,NA,NA,NA,NA,green female
Lower Gorge,2003,F-5,4,14.7,2868,2919,2817,0.2860,
Lower Gorge,2003,F-6,4,16.3,3375,3407,3343,0.3290,
Lower Gorge,2003,F-7,3,18.3,2510,2582,2438,0.2850,
Lower Gorge,2003,F-8,4,19.1,2728,2824,2632,0.3330,
Lower Gorge,2003,F-9,4,21.2,2215,2261,2169,0.3020,
Lower Gorge,2003,F-10,4,12.4,1694,1773,1615,0.2650,
Lower Gorge,2003,F-11,4,18.9,3448,3478,3418,0.2670,
Lower Gorge,2003,F-12,4,10.4,1879,1891,1867,0.3420,
Lower Gorge,2003,F-13,4,15.5,2025,2046,2005,0.3320,
Lower Gorge,2003,F-14,4,13.2,1796,1825,1767,0.3120,
Lower Gorge,2003,F-15,3,17.8,3552,3577,3527,0.2930,
Lower Gorge,2003,F-16,4,12.1,2219,2284,2154,0.3230,
Lower Gorge,2003,F-17,4,17.0,2966,2988,2944,0.2320,
Lower Gorge,2003,F-18,3,15.0,1638,1750,1526,0.2630,
Lower Gorge,2003,F-19,4,12.6,1717,1750,1684,0.2940,
Lower Gorge,2003,F-20,4,16.4,2053,2081,2025,0.2450,
Lower Gorge,2003,F-21,4,14.8,2805,2839,2771,0.3010,
Lower Gorge,2003,F-22,3,17.0,2026,2044,2008,0.2530,
Lower Gorge,2003,F-23,4,8.8,1407,1448,1366,0.2450,
Lower Gorge,2003,F-24,4,16.7,2457,2469,2445,0.2450,
Lower Gorge,2003,F-25,4,11.9,1818,1859,1777,0.2900,
Lower Gorge,2003,F-26,3,17.3,2056,2187,1925,0.2490,
Lower Gorge,2003,F-27,4,15.4,2247,2332,2162,0.3640,
Lower Gorge,2003,F-28,4,15.9,2365,2431,2299,0.2150,
Lower Gorge,2003,F-29,4,15.8,2975,3014,2936,0.3090,
Lower Gorge,2003,F-30,4,10.6,2292,2318,2266,0.2090,
Lower Gorge,2003,F-31,4,19.4,4662,4735,4589,0.2930,
Lower Gorge,2003,F-32,4,16.0,3221,3266,3176,0.3390,
Lower Gorge,2003,F-33,5,17.5,3567,3594,3540,0.3450,
Lower Gorge,2003,F-34,4,14.2,1924,1952,1896,0.2830,
Lower Gorge,2003,F-35,3,18.7,2823,2842,2804,0.2780,
Lower Gorge,2003,F-36,4,15.7,2961,2995,2927,0.2800,
Lower Gorge,2005,F-1,5,14.5,2840,2854,2826,0.3340,
Lower Gorge,2005,F-2,4,18.2,3059,3069,3049,0.3160,
Lower Gorge,2005,F-3,88,16.5,3178,3490,2866,0.2590,
Lower Gorge,2005,F-4,3,21.4,3766,4040,3492,0.2550,
Lower Gorge,2005,F-5,5,10.5,1122,1139,1105,0.4180,
Lower Gorge,2005,F-6,4,20.7,3640,3665,3615,0.2660,
Lower Gorge,2005,F-7,4,16.5,1708,1717,1699,0.3200,
Lower Gorge,2005,F-8,4,14.4,2608,2646,2570,0.3210,
Lower Gorge,2005,F-9,4,12.0,2588,2608,2568,0.3530,
Lower Gorge,2006,F-1,88,NA,2518,2917,2119,0.3260,
Lower Gorge,2006,F-2,4,12.7,2381,2431,2331,0.2950,
Lower Gorge,2006,F-3,4,16.5,2731,2781,2681,0.2920,
Lower Gorge,2006,F-4,4,18.3,2844,2903,2785,0.2930,
Lower Gorge,2006,F-5,4,18.6,2909,2998,2820,0.2440,
Lower Gorge,2006,F-6,4,14.8,2886,3008,2764,0.2930,
Lower Gorge,2006,F-7,4,17.6,2922,3008,2836,0.2770,
Lower Gorge,2006,F-8,4,14.6,2147,2220,2074,0.2720,
Lower Gorge,2006,F-9,4,15.7,1899,2019,1779,0.2860,
Lower Gorge,2006,F-10,4,NA,2016,2096,1936,NA,
Lower Gorge,2006,F-11,4,NA,1731,1774,1688,NA,
Lower Gorge,2006,F-12,3,NA,2007,2128,1886,NA,
Lower Gorge,2006,F-13,4,NA,2415,2450,2380,NA,
Lower Gorge,2006,F-14,4,NA,1630,1658,1602,NA,
Lower Gorge,2006,F-15,4,NA,2007,2105,1909,NA,
Lower Gorge,2006,F-16,4,NA,2519,2548,2490,NA,
Lower Gorge,2006,F-17,4,NA,1666,1885,1447,NA,
Lower Gorge,2006,F-18,4,12.7,2783,2877,2689,0.2250,
Lower Gorge,2006,F-19,4,16.5,2142,2154,2130,0.2980,
Lower Gorge,2006,F-20,4,17.6,2327,2509,2145,0.2810,
Lower Gorge,2006,F-21,4,18.0,1783,1809,1757,0.3580,
Lower Gorge,2006,F-22,4,19.2,2274,2287,2261,0.3090,
Lower Gorge,2006,F-23,3,18.0,2151,2204,2098,0.2710,
Lower Gorge,2006,F-24,4,15.8,1955,2020,1890,0.3010,
Lower Gorge,2006,F-25,4,17.4,2293,2392,2194,0.2830,
Lower Gorge,2006,F-26,4,19.3,1999,2058,1940,0.3290,
Lower Gorge,2006,F-27,4,14.9,1955,2002,1908,0.2850,
Lower Gorge,2006,F-28,4,16.8,2242,2272,2212,0.3310,
Lower Gorge,2009,F-1,4,16.0,2186,2203,2169,0.2720,
Lower Gorge,2009,F-2,4,15.9,1959,1969,1949,0.3060,
Lower Gorge,2009,F-3,4,17.8,3448,3474,3422,0.2440,
Lower Gorge,2009,F-4,4,18.5,2491,2534,2448,0.2900,
Lower Gorge,2009,F-5,3,16.6,2644,2665,2623,0.2470,
Lower Gorge,2009,F-6,4,15.3,2540,2568,2512,0.2700,
Lower Gorge,2009,F-7,3,17.7,2670,2697,2643,0.2870,
Lower Gorge,2009,F-8,4,17.0,2868,2895,2841,0.3160,
Lower Gorge,2009,F-9,4,17.9,2471,2491,2451,0.3250,
Lower Gorge,2009,F-10,4,18.4,1706,1786,1626,0.2770,
Lower Gorge,2009,F-11,3,16.5,1750,1758,1742,0.2820,
Lower Gorge,2010,F-1,4,18.6,4134,4238,4030,0.2760,
Lower Gorge,2010,F-2,4,19.8,3481,3512,3450,0.3230,
Lower Gorge,2010,F-3,4,12.8,2395,2510,2280,0.2750,
Lower Gorge,2010,F-4,4,16.4,3103,3115,3091,0.2970,
Lower Gorge,2010,F-5,4,14.5,2461,2535,2387,0.3030,
Lower Gorge,2010,F-6,4,NA,NA,NA,NA,NA,green female
Lower Gorge,2010,F-7,4,NA,NA,NA,NA,NA,green female
Lower Gorge,2010,F-8,4,19.4,2934,2977,2891,0.2810,
Lower Gorge,2010,F-9,4,19.4,2972,3231,2713,0.2630,
Lower Gorge,2010,F-10,3,21.2,2507,2561,2453,0.2530,
Lower Gorge,2010,F-11,4,21.9,3663,3739,3587,0.2470,
Lower Gorge,2010,F-12,4,16.6,3170,3198,3142,0.3620,
Lower Gorge,2010,F-13,4,22.7,3825,3844,3806,0.2940,
Lower Gorge,2010,F-14,4,18.6,3978,3998,3958,0.3350,
Lower Gorge,2010,F-15,3,20.4,4372,4442,4302,0.2270,
Lower Gorge,2010,F-16,4,19.7,4863,4930,4796,0.2610,
Lower Gorge,2010,F-17,3,21.6,3673,4026,3320,0.2940,
Lower Gorge,2010,F-18,4,21.1,3802,4017,3587,0.3100,
Lower Gorge,2010,F-19,4,20.7,4391,4631,4151,0.2750,
Lower Gorge,2010,F-20,4,17.8,3504,3575,3433,0.2510,
Lower Gorge,2011,F-1,4,20.7,2995,3024,2966,0.2930,
Lower Gorge,2011,F-2,4,20.3,3248,3273,3223,0.2860,
Lower Gorge,2011,F-3,4,NA,NA,NA,NA,NA,green female
Lower Gorge,2011,F-4,4,NA,NA,NA,NA,NA,green female
Lower Gorge,2011,F-5,4,23.4,2424,2443,2405,0.2660,Something went wrong with green egg mass weights
Lower Gorge,2011,F-6,4,25.5,3310,3417,3203,0.2900,Something went wrong with green egg mass weights
Lower Gorge,2011,F-7,4,36.2,2159,2185,2133,0.3360,Something went wrong with green egg mass weights
Lower Gorge,2011,F-8,4,35.7,2530,2575,2485,0.3010,Something went wrong with green egg mass weights
Lower Gorge,2011,F-9,4,38.4,1909,2000,1818,0.2900,Something went wrong with green egg mass weights
Lower Gorge,2011,F-10,4,NA,NA,NA,NA,NA,green female
Lower Gorge,2011,F-11,4,34.0,1677,1695,1659,0.2760,Something went wrong with green egg mass weights
Lower Gorge,2011,F-12,4,14.1,1485,1503,1467,0.2600,
Lower Gorge,2011,F-13,4,8.9,2744,2883,2605,0.3120,
Lower Gorge,2011,F-14,4,12.8,1999,2019,1979,0.3080,
Lower Gorge,2011,F-15,4,15.7,1013,1023,1003,0.2980,
Lower Gorge,2011,F-16,4,15.3,2390,2416,2364,0.3130,
Lower Gorge,2011,F-17,4,17.3,2048,2062,2034,0.2970,
Lower Gorge,2011,F-18,4,10.2,1359,1397,1321,0.2730,
Lower Gorge,2011,F-19,4,NA,NA,NA,NA,NA,deformed eggs
Lower Gorge,2011,F-20,4,15.8,2834,2919,2749,0.2970,
Lower Gorge,2011,F-21,4,12.2,1611,1655,1567,0.2880,
Lower Gorge,2011,F-22,4,13.8,1151,1157,1145,0.3350,
Lower Gorge,2011,F-23,4,14.9,2063,2071,2055,0.2520,
Lower Gorge,2011,F-24,4,15.4,1857,1886,1828,0.3470,
Lower Gorge,2011,F-25,4,16.3,2307,2369,2245,0.2740,
Lower Gorge,2011,F-26,4,16.0,2140,2148,2132,0.3190,
