Strata,Location.Reach,Population
Coastal,Grays_CJ,CJ
Coastal,Grays_MS,Grays
Coastal,Grays_WF,Grays
Cascade,I205,Cascade_MS
Gorge,Duncan_Creek,Duncan_Creek
Gorge,Hamilton_Channel,Hamilton_Channel
Gorge,Hamilton_Creek,Hamilton_Creek
Gorge,Hardy_Creek,Hardy_Creek
Gorge,Horsetail,Gorge_MS
Gorge,Ives,Gorge_MS
Gorge,Multnomah,Gorge_MS
Gorge,St_Cloud,Gorge_MS
