Species,LifeStage,Return.Yr.,Strata,Location.Reach,Disposition,Origin,Sex,Age,Count
Chum,Adult,2021,Gorge,St_Cloud,Duncan_Hatchery,Duncan_Hatchery,Female,Age-5,0
Chum,Adult,2021,Gorge,St_Cloud,Duncan_Hatchery,Duncan_Hatchery,Female,Age-6,0
Chum,Adult,2021,Gorge,St_Cloud,Duncan_Hatchery,Lewis_Hatchery,Female,Age-2,0
Chum,Adult,2021,Gorge,St_Cloud,Duncan_Hatchery,Lewis_Hatchery,Female,Age-3,0
Chum,Adult,2021,Gorge,St_Cloud,Duncan_Hatchery,Lewis_Hatchery,Female,Age-4,0
Chum,Adult,2021,Gorge,St_Cloud,Duncan_Hatchery,Lewis_Hatchery,Female,Age-5,0
Chum,Adult,2021,Gorge,St_Cloud,Duncan_Hatchery,Lewis_Hatchery,Female,Age-6,0
Chum,Adult,2021,Gorge,St_Cloud,Duncan_Hatchery,Duncan_Channel,Female,Age-2,0
Chum,Adult,2021,Gorge,St_Cloud,Duncan_Hatchery,Duncan_Channel,Female,Age-3,0
Chum,Adult,2021,Gorge,St_Cloud,Duncan_Hatchery,Duncan_Channel,Female,Age-4,0
Chum,Adult,2021,Gorge,St_Cloud,Duncan_Hatchery,Duncan_Channel,Female,Age-5,0
Chum,Adult,2021,Gorge,St_Cloud,Duncan_Hatchery,Duncan_Channel,Female,Age-6,0
Chum,Adult,2021,Gorge,St_Cloud,Duncan_Hatchery,Natural_spawner,Male,Age-2,0
Chum,Adult,2021,Gorge,St_Cloud,Duncan_Hatchery,Natural_spawner,Male,Age-3,0
Chum,Adult,2021,Gorge,St_Cloud,Duncan_Hatchery,Natural_spawner,Male,Age-4,0
Chum,Adult,2021,Gorge,St_Cloud,Duncan_Hatchery,Natural_spawner,Male,Age-5,0
Chum,Adult,2021,Gorge,St_Cloud,Duncan_Hatchery,Natural_spawner,Male,Age-6,0
Chum,Adult,2021,Gorge,St_Cloud,Duncan_Hatchery,Duncan_Hatchery,Male,Age-2,0
Chum,Adult,2021,Gorge,St_Cloud,Duncan_Hatchery,Duncan_Hatchery,Male,Age-3,0
Chum,Adult,2021,Gorge,St_Cloud,Duncan_Hatchery,Duncan_Hatchery,Male,Age-4,0
Chum,Adult,2021,Gorge,St_Cloud,Duncan_Hatchery,Duncan_Hatchery,Male,Age-5,0
Chum,Adult,2021,Gorge,St_Cloud,Duncan_Hatchery,Duncan_Hatchery,Male,Age-6,0
Chum,Adult,2021,Gorge,St_Cloud,Duncan_Hatchery,Lewis_Hatchery,Male,Age-2,0
Chum,Adult,2021,Gorge,St_Cloud,Duncan_Hatchery,Lewis_Hatchery,Male,Age-3,0
Chum,Adult,2021,Gorge,St_Cloud,Duncan_Hatchery,Lewis_Hatchery,Male,Age-4,0
Chum,Adult,2021,Gorge,St_Cloud,Duncan_Hatchery,Lewis_Hatchery,Male,Age-5,0
Chum,Adult,2021,Gorge,St_Cloud,Duncan_Hatchery,Lewis_Hatchery,Male,Age-6,0
